match_key_type,match_key,factgrid_qid,factgrid_qid_number,source_label,source_aliases_en,source_cdli_id_raw,source_oare_id,source_b_number
b_number,B000016,Q1359030,1359030,Cuneiform Tablet CCT 1 14b (BM 113652),CCT 1 14b | BM 113652 | P358417 | Cuneiform Tablet CCT 1 14b (BM 113652),P358417,4c6016b7-d853-5d7a-c98f-759e510b4c6e,B000016
b_number,B000017,Q1359031,1359031,Cuneiform Tablet CCT 1 15a (BM 113608),CCT 1 15a | BM 113608 | P358418 | Cuneiform Tablet CCT 1 15a (BM 113608),P358418,92f74f30-2c21-3139-4f2b-21481b7afd12,B000017
b_number,B000018,Q1359032,1359032,Cuneiform Tablet CCT 1 15b (BM 113469),CCT 1 15b | BM 113469 | P358419 | Cuneiform Tablet CCT 1 15b (BM 113469),P358419,76b2484b-29f1-64d3-a032-511c50cbc7ed,B000018
b_number,B000019,Q1359033,1359033,Cuneiform Tablet CCT 1 15c (BM 113624),CCT 1 15c | BM 113624 | P358420 | Cuneiform Tablet CCT 1 15c (BM 113624),P358420,46d1e1ad-6000-b09b-6025-4d0c46760d96,B000019
b_number,B000020,Q1359034,1359034,Cuneiform Tablet CCT 1 16a (BM 113530),CCT 1 16a | BM 113530 | P358421 | Cuneiform Tablet CCT 1 16a (BM 113530),P358421,c5c76642-9957-3ed0-fbee-9a16bda75b2c,B000020
b_number,B000021,Q1359035,1359035,Cuneiform Tablet CCT 1 16b (BM 113417),CCT 1 16b | BM 113417 | P358422 | Cuneiform Tablet CCT 1 16b (BM 113417),P358422,1f420e88-39d6-fc81-3df9-cce09e15f8ec,B000021
b_number,B000022,Q1359036,1359036,Cuneiform Tablet CCT 1 17a (BM 113499),CCT 1 17a | BM 113499 | P358423 | Cuneiform Tablet CCT 1 17a (BM 113499),P358423,55491afe-a082-b7ac-ed88-2efe755d6eb2,B000022
b_number,B000023,Q1359037,1359037,Cuneiform Tablet CCT 1 17b (BM 113373),CCT 1 17b | BM 113373 | P358424 | Cuneiform Tablet CCT 1 17b (BM 113373),P358424,c3f694c3-7ab6-0c49-c5b5-8dfd73134f9e,B000023
b_number,B000024,Q1359038,1359038,Cuneiform Tablet CCT 1 18a (BM 113446),CCT 1 18a | BM 113446 | P358425 | Cuneiform Tablet CCT 1 18a (BM 113446),P358425,ee90a6e0-f884-2696-0978-475303ab67f8,B000024
b_number,B000025,Q1359039,1359039,Cuneiform Tablet CCT 1 18b (BM 113599),CCT 1 18b | BM 113599 | P358426 | Cuneiform Tablet CCT 1 18b (BM 113599),P358426,eab7fff1-bfa2-d9e7-6470-240125022afa,B000025
b_number,B000026,Q1359040,1359040,Cuneiform Tablet CCT 1 19a (BM 113498),CCT 1 19a | BM 113498 | P358427 | Cuneiform Tablet CCT 1 19a (BM 113498),P358427,3ba09339-a9d7-dea3-db9d-8349080dd954,B000026
b_number,B000027,Q1359041,1359041,Cuneiform Tablet CCT 1 19b (BM 113566),CCT 1 19b | BM 113566 | P358428 | Cuneiform Tablet CCT 1 19b (BM 113566),P358428,f6af4a38-990e-a4af-ccd2-3833811c2041,B000027
b_number,B000028,Q1359042,1359042,Cuneiform Tablet CCT 1 1a (BM 113275),CCT 1 1a | BM 113275 | P358429 | Cuneiform Tablet CCT 1 1a (BM 113275),P358429,1b94528b-fe70-f651-95d9-28c2651d54f4,B000028
b_number,B000029,Q1359043,1359043,Cuneiform Tablet CCT 1 1b (BM 113508),CCT 1 1b | BM 113508 | P358430 | Cuneiform Tablet CCT 1 1b (BM 113508),P358430,020e21bd-6037-7854-97fc-f6d7c7ccc8a7,B000029
b_number,B000030,Q1359044,1359044,Cuneiform Tablet CCT 1 2-3 (BM 113259),CCT 1 2-3 | BM 113259 | P358431 | Cuneiform Tablet CCT 1 2-3 (BM 113259),P358431,c803f46e-3634-ed06-d89d-56895704d199,B000030
b_number,B000031,Q1359045,1359045,Cuneiform Tablet CCT 1 20a (BM 113326),CCT 1 20a | BM 113326 | P358432 | Cuneiform Tablet CCT 1 20a (BM 113326),P358432,e7e26a46-0e7d-22cd-2fbb-2373f3e07e7f,B000031
b_number,B000032,Q1359046,1359046,Cuneiform Tablet CCT 1 20b (BM 113653),CCT 1 20b | BM 113653 | P358433 | Cuneiform Tablet CCT 1 20b (BM 113653),P358433,c0940480-1996-431c-2ddd-0067860b7705,B000032
b_number,B000033,Q1359047,1359047,Cuneiform Tablet CCT 1 21a (BM 113636),CCT 1 21a | BM 113636 | P358434 | Cuneiform Tablet CCT 1 21a (BM 113636),P358434,8bf20d76-9698-fb94-745f-2724aeee8c8b,B000033
b_number,B000034,Q1359048,1359048,Cuneiform Tablet CCT 1 21b (BM 113601),CCT 1 21b | BM 113601 | P358435 | Cuneiform Tablet CCT 1 21b (BM 113601),P358435,777e7e6a-1072-9988-50a3-272ff35ae3be,B000034
b_number,B000035,Q1359049,1359049,Cuneiform Tablet CCT 1 21c (BM 113628),CCT 1 21c | BM 113628 | P358436 | Cuneiform Tablet CCT 1 21c (BM 113628),P358436,b3c818a1-7f66-7c53-cc0a-302a6d334770,B000035
b_number,B000036,Q1359050,1359050,Cuneiform Tablet CCT 1 21d (BM 113515),CCT 1 21d | BM 113515 | P358437 | Cuneiform Tablet CCT 1 21d (BM 113515),P358437,da2fc846-78e6-04c4-fd49-b740a404c5e1,B000036
b_number,B000037,Q1359051,1359051,Cuneiform Tablet CCT 1 22a (BM 113425),CCT 1 22a | BM 113425 | P358438 | Cuneiform Tablet CCT 1 22a (BM 113425),P358438,75ec2418-612d-bea9-6267-95f5b70d112f,B000037
b_number,B000038,Q1359052,1359052,Cuneiform Tablet CCT 1 22b (BM 113360),CCT 1 22b | BM 113360 | P358439 | Cuneiform Tablet CCT 1 22b (BM 113360),P358439,110d75bb-9e63-2d6e-8b92-8b037e1378af,B000038
b_number,B000039,Q1359053,1359053,Cuneiform Tablet CCT 1 23 (BM 113477),CCT 1 23 | BM 113477 | P358440 | Cuneiform Tablet CCT 1 23 (BM 113477),P358440,a0e3dd0f-6be0-3c58-9d8f-804912ba99d8,B000039
b_number,B000040,Q1359054,1359054,Cuneiform Tablet CCT 1 24a (BM 113348),CCT 1 24a | BM 113348 | P358441 | Cuneiform Tablet CCT 1 24a (BM 113348),P358441,87acb73a-c091-9c09-07d9-ea3e81fc5ed3,B000040
b_number,B000041,Q1359055,1359055,Cuneiform Tablet CCT 1 24b (BM 113449),CCT 1 24b | BM 113449 | P358442 | Cuneiform Tablet CCT 1 24b (BM 113449),P358442,043e441b-8829-0efc-2e4a-51d8b7d85c86,B000041
b_number,B000042,Q1359056,1359056,Cuneiform Tablet CCT 1 25 (BM 113310),CCT 1 25 | BM 113310 | P358443 | Cuneiform Tablet CCT 1 25 (BM 113310),P358443,b14b27d1-6b43-d6af-205b-45e373b88c2a,B000042
b_number,B000043,Q1359057,1359057,Cuneiform Tablet CCT 1 26a (BM 113635),CCT 1 26a | BM 113635 | P358444 | Cuneiform Tablet CCT 1 26a (BM 113635),P358444,b4c8a54c-28e5-ddea-2675-97495d1cd5a7,B000043
b_number,B000044,Q1359058,1359058,Cuneiform Tablet CCT 1 26b (BM 113540),CCT 1 26b | BM 113540 | P358445 | Cuneiform Tablet CCT 1 26b (BM 113540),P358445,8aa6537d-e2b6-4b21-5e49-19bed35a2542,B000044
b_number,B000045,Q1359059,1359059,Cuneiform Tablet CCT 1 26c (BM 113619),CCT 1 26c | BM 113619 | P358446 | Cuneiform Tablet CCT 1 26c (BM 113619),P358446,5642660d-41de-4635-e221-2601db3000e5,B000045
b_number,B000046,Q1359060,1359060,Cuneiform Tablet CCT 5 48d (BM 113610),CCT 5 48d | BM 113610 | P358447 | Cuneiform Tablet CCT 5 48d (BM 113610),P358447,a66fcd48-8a27-b5e3-d4d0-2f39154e6475,B000046
b_number,B000047,Q1359061,1359061,Cuneiform Tablet CCT 1 27a (BM 113610),CCT 1 27 | BM 113610 | P358447 | Cuneiform Tablet CCT 1 27a (BM 113610),P358447,b385ebee-a473-f5fa-8c0e-64698eafaa1d,B000047
b_number,B000048,Q1359062,1359062,Cuneiform Tablet CCT 1 27b (BM 113614),CCT 1 27b | BM 113614 | P358448 | Cuneiform Tablet CCT 1 27b (BM 113614),P358448,5c7e8109-d619-7aa0-1250-b7ebe432bc1f,B000048
b_number,B000049,Q1359063,1359063,Cuneiform Tablet CCT 1 27c (BM 113547),CCT 1 27c | BM 113547 | P358449 | Cuneiform Tablet CCT 1 27c (BM 113547),P358449,6ae044da-ee94-d429-a8cc-9e0b570d818c,B000049
b_number,B000050,Q1359064,1359064,Cuneiform Tablet CCT 1 28a (BM 113455),CCT 1 28a | BM 113455 | P358450 | Cuneiform Tablet CCT 1 28a (BM 113455),P358450,3ab61172-99be-85ab-3ee1-44d0a706b24c,B000050
b_number,B000052,Q1359065,1359065,Cuneiform Tablet CCT 1 28b (BM 113646),"CCT 1 28b | BM 113646 | FAOSB 4, 339 Nr. 424 | P358451 | Cuneiform Tablet CCT 1 28b (BM 113646)",P358451,b1d46fb4-8c2f-c9c5-17a3-f6645fdebddc,B000052
b_number,B000053,Q1359066,1359066,Cuneiform Tablet CCT 1 28c (BM 113629),CCT 1 28c | BM 113629 | P358452 | Cuneiform Tablet CCT 1 28c (BM 113629),P358452,560135d3-1625-f298-c484-863476b9dd10,B000053
b_number,B000054,Q1359067,1359067,Cuneiform Tablet CCT 1 28d (BM 113644),CCT 1 28d | BM 113644 | P358453 | Cuneiform Tablet CCT 1 28d (BM 113644),P358453,377926de-6c7c-fce0-52a9-545e48932415,B000054
b_number,B000055,Q1359068,1359068,Cuneiform Tablet CCT 1 29 (BM 113319),CCT 1 29 | BM 113319 | P358454 | Cuneiform Tablet CCT 1 29 (BM 113319),P358454,8935b60d-ebaf-bece-bba5-84bf80324005,B000055
b_number,B000056,Q1359069,1359069,Cuneiform Tablet CCT 1 30a (BM 113598),CCT 1 30a | BM 113598 | P358455 | Cuneiform Tablet CCT 1 30a (BM 113598),P358455,681538aa-4da0-abde-77f0-3c1b7c083918,B000056
b_number,B000057,Q1359070,1359070,Cuneiform Tablet CCT 1 30b (BM 113538),CCT 1 30b | BM 113538 | P358456 | Cuneiform Tablet CCT 1 30b (BM 113538),P358456,6f92eea0-adc6-3a0c-5ee4-6228fea3ca81,B000057
b_number,B000058,Q1359071,1359071,Cuneiform Tablet CCT 1 31a (BM 113651),CCT 1 31a | BM 113651 | P358457 | Cuneiform Tablet CCT 1 31a (BM 113651),P358457,a8566ec0-661e-a4d2-1243-f8eecb3b6d67,B000058
b_number,B000059,Q1359072,1359072,Cuneiform Tablet CCT 1 31b (BM 113525),CCT 1 31b | BM 113525 | P358458 | Cuneiform Tablet CCT 1 31b (BM 113525),P358458,804a27b8-4aee-7e70-ffdb-edaca6a107a2,B000059
b_number,B000060,Q1359073,1359073,Cuneiform Tablet CCT 1 31c (BM 113633),CCT 1 31c | BM 113633 | P358459 | Cuneiform Tablet CCT 1 31c (BM 113633),P358459,03d7027e-7143-d4ed-90f8-60544e539cbb,B000060
b_number,B000061,Q1359074,1359074,Cuneiform Tablet CCT 1 32a (BM 113527),CCT 1 32a | BM 113527 | P358460 | Cuneiform Tablet CCT 1 32a (BM 113527),P358460,b423d8f4-e8ff-b00d-5fd8-256846e076ac,B000061
b_number,B000062,Q1359075,1359075,Cuneiform Tablet CCT 1 32b (BM 113542),CCT 1 32b | BM 113542 | P358461 | Cuneiform Tablet CCT 1 32b (BM 113542),P358461,017079b3-976a-a51b-b687-c80ae167e4b0,B000062
b_number,B000063,Q1359076,1359076,Cuneiform Tablet CCT 1 32c (BM 113371),CCT 1 32c | BM 113371 | P358462 | Cuneiform Tablet CCT 1 32c (BM 113371),P358462,28460242-cb8d-8837-f76b-169a3802e001,B000063
b_number,B000064,Q1359077,1359077,Cuneiform Tablet CCT 1 33a (BM 113472),CCT 1 33a | BM 113472 | P358463 | Cuneiform Tablet CCT 1 33a (BM 113472),P358463,cd9e1b3c-0160-da8c-0ef7-ea4e3ed4ea0d,B000064
b_number,B000065,Q1359078,1359078,Cuneiform Tablet CCT 1 33b (BM 113523),CCT 1 33b | BM 113523 | P358464 | Cuneiform Tablet CCT 1 33b (BM 113523),P358464,abdad04e-7de4-15cd-1baf-560097953caf,B000065
b_number,B000066,Q1359079,1359079,Cuneiform Tablet CCT 1 34a (BM 113347),CCT 1 34a | BM 113347 | P358465 | Cuneiform Tablet CCT 1 34a (BM 113347),P358465,72c05a60-8772-f869-0631-8026e92f70d0,B000066
b_number,B000067,Q1359080,1359080,Cuneiform Tablet CCT 1 34b (BM 113396),CCT 1 34b | BM 113396 | P358466 | Cuneiform Tablet CCT 1 34b (BM 113396),P358466,9c6ac8bf-5fc1-d021-ba3e-b94fc5f683e3,B000067
b_number,B000068,Q1359081,1359081,Cuneiform Tablet CCT 1 35 (BM 113550),CCT 1 35 | BM 113550 | P358467 | Cuneiform Tablet CCT 1 35 (BM 113550),P358467,3f76f1f9-c0a8-0484-0d4c-5f23ba93f5ed,B000068
b_number,B000069,Q1359082,1359082,Cuneiform Tablet CCT 1 36a (BM 113647),CCT 1 36a | BM 113647 | P358468 | Cuneiform Tablet CCT 1 36a (BM 113647),P358468,4846aee8-1fdc-8146-0c4c-67d7f699f83a,B000069
b_number,B000070,Q1359083,1359083,Cuneiform Tablet CCT 1 36b (BM 113617),CCT 1 36b | BM 113617 | P358469 | Cuneiform Tablet CCT 1 36b (BM 113617),P358469,2e0360e6-60f9-9935-4054-1be40d321bd0,B000070
b_number,B000071,Q1359084,1359084,Cuneiform Tablet CCT 1 36c (BM 113534),CCT 1 36c | BM 113534 | P358470 | Cuneiform Tablet CCT 1 36c (BM 113534),P358470,5850add5-3e05-948e-cb90-c87129e916a6,B000071
b_number,B000072,Q1359085,1359085,Cuneiform Tablet CCT 1 36d (BM 113620),CCT 1 36d | BM 113620 | P358471 | Cuneiform Tablet CCT 1 36d (BM 113620),P358471,d1eb598e-9d6e-ba3a-6d13-e40ae507bd29,B000072
b_number,B000073,Q1359086,1359086,Cuneiform Tablet CCT 1 37a (BM 113565),CCT 1 37a | BM 113565 | P358472 | Cuneiform Tablet CCT 1 37a (BM 113565),P358472,ea0b8e06-3882-a36c-98b2-d9e25352b738,B000073
b_number,B000074,Q1359087,1359087,Cuneiform Tablet CCT 1 37b (BM 113532),CCT 1 37b | BM 113532 | P358473 | Cuneiform Tablet CCT 1 37b (BM 113532),P358473,a75f5db1-9126-523f-e4a6-978d9a3a4719,B000074
b_number,B000075,Q1359088,1359088,Cuneiform Tablet CCT 1 38a (BM 113522),CCT 1 38a | BM 113522 | P358474 | Cuneiform Tablet CCT 1 38a (BM 113522),P358474,ee69ea87-db95-0989-21b9-8fc9a73950cc,B000075
b_number,B000076,Q1359089,1359089,Cuneiform Tablet CCT 1 38b (BM 113645),CCT 1 38b | BM 113645 | P358475 | Cuneiform Tablet CCT 1 38b (BM 113645),P358475,d8a2c210-de22-3241-5438-625acefcf540,B000076
b_number,B000077,Q1359090,1359090,Cuneiform Tablet CCT 1 38c (BM 113509),CCT 1 38c | BM 113509 | P358476 | Cuneiform Tablet CCT 1 38c (BM 113509),P358476,3c955458-49fa-79fd-ee21-c86d6570cf3b,B000077
b_number,B000078,Q1359091,1359091,Cuneiform Tablet CCT 1 39a (BM 113447),CCT 1 39a | BM 113447 | P358477 | Cuneiform Tablet CCT 1 39a (BM 113447),P358477,0e41aed5-4b32-37e2-a14a-a9df5efeaf86,B000078
b_number,B000079,Q1359092,1359092,Cuneiform Tablet CCT 1 39b (BM 113445),CCT 1 39b | BM 113445 | P358478 | Cuneiform Tablet CCT 1 39b (BM 113445),P358478,f5a2829e-bf98-5b76-e770-a1d8a2043792,B000079
b_number,B000080,Q1359093,1359093,Cuneiform Tablet CCT 1 4 (BM 113280),CCT 1 4 | BM 113280 | P358479 | Cuneiform Tablet CCT 1 4 (BM 113280),P358479,4bd5afec-6ad6-70c1-f6b9-5a84e9fad7e8,B000080
b_number,B000081,Q1359094,1359094,Cuneiform Tablet CCT 1 40a (BM 113592),CCT 1 40a | BM 113592 | P358480 | Cuneiform Tablet CCT 1 40a (BM 113592),P358480,7eaaee87-d0f5-65f9-69b1-ddac5d4c6200,B000081
b_number,B000082,Q1359095,1359095,Cuneiform Tablet CCT 1 40b (BM 113526),CCT 1 40b | BM 113526 | P358481 | Cuneiform Tablet CCT 1 40b (BM 113526),P358481,02ca950c-5768-999d-3c68-49ef002d962a,B000082
b_number,B000083,Q1359096,1359096,Cuneiform Tablet CCT 1 40c (BM 113638),CCT 1 40c | BM 113638 | P358482 | Cuneiform Tablet CCT 1 40c (BM 113638),P358482,3a72d120-2912-6669-1412-36ba99a95909,B000083
b_number,B000084,Q1359097,1359097,Cuneiform Tablet CCT 1 41a (BM 113493),CCT 1 41a | BM 113493 | P358483 | Cuneiform Tablet CCT 1 41a (BM 113493),P358483,ed7836c2-76f1-3aaf-775c-f9ad06798f48,B000084
b_number,B000085,Q1359098,1359098,Cuneiform Tablet CCT 1 41b (BM 113437),CCT 1 41b | BM 113437 | P358484 | Cuneiform Tablet CCT 1 41b (BM 113437),P358484,f34cd152-6a98-0d92-4bc9-e64e5dadaee3,B000085
b_number,B000086,Q1359099,1359099,Cuneiform Tablet CCT 1 42a (BM 113375),CCT 1 42a | BM 113375 | P358485 | Cuneiform Tablet CCT 1 42a (BM 113375),P358485,080ae386-adbb-4095-5cc6-ca387e80cc69,B000086
b_number,B000087,Q1359100,1359100,Cuneiform Tablet CCT 1 42b (BM 113597),CCT 1 42b | BM 113597 | P358486 | Cuneiform Tablet CCT 1 42b (BM 113597),P358486,1dd93685-9312-f1ca-7e73-dca4cde837c1,B000087
b_number,B000088,Q1359101,1359101,Cuneiform Tablet CCT 1 43 (BM 113287),CCT 1 43 | BM 113287 | P358487 | Cuneiform Tablet CCT 1 43 (BM 113287),P358487,e94648eb-4a37-0e77-7933-1a7953ce697e,B000088
b_number,B000089,Q1359102,1359102,Cuneiform Tablet CCT 1 44 (BM 113381),CCT 1 44 | BM 113381 | P358488 | Cuneiform Tablet CCT 1 44 (BM 113381),P358488,33e3da4a-2570-73fe-4c16-92a19917b0cc,B000089
b_number,B000090,Q1359103,1359103,Cuneiform Tablet CCT 1 45 (BM 113261),CCT 1 45 | BM 113261 | P358489 | Cuneiform Tablet CCT 1 45 (BM 113261),P358489,59dc57e2-e57a-6ab8-887d-4230b0676671,B000090
b_number,B000091,Q1359104,1359104,Cuneiform Tablet CCT 1 46a (BM 113554),CCT 1 46a | BM 113554 | P358490 | Cuneiform Tablet CCT 1 46a (BM 113554),P358490,00d6c0c2-cf36-0a53-4b23-529cf28986aa,B000091
b_number,B000092,Q1359105,1359105,Cuneiform Tablet CCT 1 46b-47a (BM 113482),CCT 1 46b-47a | BM 113482 | P358491 | Cuneiform Tablet CCT 1 46b-47a (BM 113482),P358491,eddea2bd-8cc3-2353-3732-32636a1ec892,B000092
b_number,B000093,Q1359106,1359106,Cuneiform Tablet CCT 1 47b (BM 113492),CCT 1 47b | BM 113492 | P358492 | Cuneiform Tablet CCT 1 47b (BM 113492),P358492,1959ecbb-ca2a-4b47-b07c-575ae25cf51f,B000093
b_number,B000094,Q1359107,1359107,Cuneiform Tablet CCT 1 48 (BM 113341),CCT 1 48 | BM 113341 | P358493 | Cuneiform Tablet CCT 1 48 (BM 113341),P358493,afa0c01c-ccb6-52b9-ed32-0ef7e17f58bf,B000094
b_number,B000095,Q1359108,1359108,Cuneiform Tablet CCT 1 49a (BM 113506),CCT 1 49a | BM 113506 | P358494 | Cuneiform Tablet CCT 1 49a (BM 113506),P358494,97b0cf29-951d-8aa8-869c-c58690fa0715,B000095
b_number,B000096,Q1359109,1359109,Cuneiform Tablet CCT 1 49b (BM 113321),CCT 1 49b | BM 113321 | P358495 | Cuneiform Tablet CCT 1 49b (BM 113321),P358495,ad615fb5-aeca-779d-05d1-f34990995385,B000096
b_number,B000097,Q1359110,1359110,Cuneiform Tablet CCT 1 50 (BM 113355),CCT 1 50 | BM 113355 | P358496 | Cuneiform Tablet CCT 1 50 (BM 113355),P358496,d7b5e8be-3dcc-2054-8ec2-ee2d95b4c900,B000097
b_number,B000098,Q1359111,1359111,Cuneiform Tablet CCT 1 5a (BM 113416),CCT 1 5a | BM 113416 | P358497 | Cuneiform Tablet CCT 1 5a (BM 113416),P358497,8bfb4a77-351b-4497-fb8f-abd3862ecc12,B000098
b_number,B000099,Q1359112,1359112,Cuneiform Tablet CCT 1 5b (BM 113496),CCT 1 5b | BM 113496 | P358498 | Cuneiform Tablet CCT 1 5b (BM 113496),P358498,315a1cb0-caf1-4925-e7f2-de76a9f2e1e9,B000099
b_number,B000100,Q1359113,1359113,Cuneiform Tablet CCT 1 6a (BM 113428),CCT 1 6a | BM 113428 | P358499 | Cuneiform Tablet CCT 1 6a (BM 113428),P358499,6902b817-30e6-15d4-da02-36f3306a9f17,B000100
b_number,B000101,Q1359114,1359114,Cuneiform Tablet CCT 1 6b (BM 113531),CCT 1 6b | BM 113531 | P358500 | Cuneiform Tablet CCT 1 6b (BM 113531),P358500,319f8b6d-ce99-373b-d6da-193539bacfd5,B000101
b_number,B000102,Q1359115,1359115,Cuneiform Tablet CCT 6 47a (BM 113587),CCT 6 47a | BM 113587 | P358500 | Cuneiform Tablet CCT 6 47a (BM 113587),P358500,49af516e-bf16-4ea7-9e37-92608f596d6d,B000102
b_number,B000103,Q1359116,1359116,Cuneiform Tablet CCT 1 6c (BM 113513),CCT 1 6c | BM 113513 | P358501 | Cuneiform Tablet CCT 1 6c (BM 113513),P358501,9e8b7280-531e-9ada-ed65-2d739478c616,B000103
b_number,B000104,Q1359117,1359117,Cuneiform Tablet CCT 1 7a (BM 113353),CCT 1 7a | BM 113353 | P358502 | Cuneiform Tablet CCT 1 7a (BM 113353),P358502,5471d8a4-ae37-60fa-cfd7-b3e862e7d8d7,B000104
b_number,B000105,Q1359118,1359118,Cuneiform Tablet CCT 1 7b (BM 113470),CCT 1 7b | BM 113470 | P358503 | Cuneiform Tablet CCT 1 7b (BM 113470),P358503,cb580d64-81ee-55ad-40e4-c244937110f9,B000105
b_number,B000106,Q1359119,1359119,Cuneiform Tablet CCT 1 8a (BM 113516),CCT 1 8a | BM 113516 | P358504 | Cuneiform Tablet CCT 1 8a (BM 113516),P358504,ef7d38bc-df71-4437-82e5-85dc33d58b62,B000106
b_number,B000107,Q1359120,1359120,Cuneiform Tablet CCT 1 8b (BM 113512),CCT 1 8b | BM 113512 | P358505 | Cuneiform Tablet CCT 1 8b (BM 113512),P358505,ae0c6afd-cf2f-9d1a-08dc-448dc303a792,B000107
b_number,B000108,Q1359121,1359121,Cuneiform Tablet CCT 6 1b (BM 113586),CCT 6 1b | BM 113586 | P358506 | Cuneiform Tablet CCT 6 1b (BM 113586),P358506,2eeebc23-0ca8-646a-f59c-2db77d478a79,B000108
b_number,B000109,Q1359122,1359122,Cuneiform Tablet CCT 1 8c (BM 113520),CCT 1 8c | BM 113520 | P358506 | Cuneiform Tablet CCT 1 8c (BM 113520),P358506,8d10a0ba-1286-8466-2773-43530d309236,B000109
b_number,B000110,Q1359123,1359123,Cuneiform Tablet CCT 1 9a (BM 113380),CCT 1 9a | BM 113380 | P358507 | Cuneiform Tablet CCT 1 9a (BM 113380),P358507,a846c442-5813-2afd-bef9-ab645808dfb8,B000110
b_number,B000111,Q1359124,1359124,Cuneiform Tablet CCT 1 9b (BM 113528),CCT 1 9b | BM 113528 | P358508 | Cuneiform Tablet CCT 1 9b (BM 113528),P358508,0361861c-a309-ee14-a5cb-8c819da14884,B000111
b_number,B000112,Q1359125,1359125,Cuneiform Tablet CCT 2 28 (BM 113563),CCT 2 28 | BM 113563 | P358509 | Cuneiform Tablet CCT 2 28 (BM 113563),P358509,1a50b3fc-f32e-1210-f310-bb1d05271785,B000112
b_number,B000113,Q1359126,1359126,Cuneiform Tablet CCT 2 1 (BM 113268),CCT 2 1 | BM 113268 | P358510 | Cuneiform Tablet CCT 2 1 (BM 113268),P358510,9f868ebe-6392-cf33-c6c6-5d9bc2297825,B000113
